,age,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_fk_accuracy,skill_long_passing,skill_ball_control,value_eur,league_level
81,29,76,49,56,57,84,79,49,39,65,64,12500000,1
82,26,69,82,87,81,55,67,81,84,90,86,19500000,1
83,27,52,57,68,64,86,78,62,74,75,73,14500000,1
84,27,78,67,76,76,84,82,73,52,79,77,14000000,1
85,24,89,82,69,81,29,70,84,68,62,81,18500000,1
86,28,79,76,81,83,74,79,82,65,82,84,15500000,1
87,27,85,79,82,84,57,74,85,79,75,85,18500000,1
89,24,72,75,85,84,63,66,83,85,85,89,16500000,1
90,28,71,84,68,78,36,71,82,54,59,82,17000000,1
91,28,75,82,61,75,43,87,75,45,42,79,17000000,1
92,23,71,78,79,80,70,77,81,70,82,82,15000000,1
93,23,79,70,83,86,67,70,87,74,84,86,15000000,1
94,25,82,73,76,88,32,49,88,64,73,85,19000000,1
95,27,85,87,80,81,43,86,84,84,78,82,18500000,1
96,26,83,76,78,84,37,60,84,57,74,85,18000000,1
98,26,93,77,76,87,57,71,89,69,75,85,18000000,1
99,21,76,78,79,83,73,88,84,65,82,88,13500000,1
100,22,76,76,82,86,32,62,86,74,79,89,15000000,1
102,34,63,83,85,75,70,81,74,80,87,82,3900000,1
104,30,85,76,81,84,33,56,85,79,80,86,13500000,1
106,31,50,66,78,73,79,84,73,67,86,83,9500000,1
108,32,54,64,53,55,84,83,53,75,64,59,9000000,1
109,29,75,73,84,85,39,64,85,86,81,84,16000000,1
110,29,74,52,74,75,83,82,73,66,71,77,12500000,1
111,30,68,72,80,76,75,73,73,75,84,80,13500000,1
112,28,75,82,60,70,30,79,69,36,39,76,17000000,1
114,32,85,82,77,84,31,60,83,75,65,86,13000000,1
115,30,64,56,72,71,83,76,68,60,75,76,11500000,1
116,29,87,76,75,85,32,73,84,76,60,82,14500000,1
117,29,71,74,85,81,65,67,79,75,87,87,14500000,1
118,27,83,83,74,84,29,52,83,77,67,87,18500000,1
119,29,77,74,81,77,80,74,77,82,74,77,12500000,1
121,28,82,62,76,78,81,77,77,75,77,84,13500000,1
122,28,87,74,79,83,58,72,83,68,70,83,15500000,1
123,25,86,77,74,85,30,65,86,67,63,85,19000000,1
124,26,73,77,81,81,58,70,81,72,75,84,19500000,1
126,27,72,67,74,69,82,81,67,73,76,74,14500000,1
127,26,78,52,61,65,84,82,61,47,60,67,16000000,1
129,29,81,67,73,74,81,82,74,44,70,77,12500000,1
130,27,88,77,80,87,37,53,87,82,74,87,18500000,1
131,26,81,67,78,84,77,79,83,67,76,86,16000000,1
132,26,66,50,65,65,83,78,60,52,64,72,16000000,1
133,27,77,64,72,72,80,78,69,75,70,79,14500000,1
134,25,89,73,78,87,51,63,88,57,77,87,17000000,1
135,29,71,81,83,85,63,73,85,85,79,87,14500000,1
137,25,71,57,58,57,83,79,48,64,72,64,15000000,1
138,26,83,74,81,86,38,57,87,72,79,85,18000000,1
139,26,72,58,72,72,83,82,70,51,78,77,15000000,1
140,23,82,82,68,81,30,79,83,75,49,87,16500000,1
141,26,93,82,68,82,38,73,86,70,64,81,19500000,1
142,22,81,72,83,83,47,55,84,84,82,85,15000000,1
143,25,67,70,76,75,80,85,78,67,80,79,14500000,1
146,22,75,72,85,81,53,73,79,73,85,86,13500000,1
147,23,85,77,76,83,30,68,86,70,76,80,15000000,1
148,27,82,81,66,78,43,85,77,34,63,79,18500000,1
149,22,86,70,81,82,79,72,81,75,79,83,11500000,1
150,21,93,73,76,87,44,63,88,68,75,83,15000000,1
152,33,76,81,71,82,37,72,83,72,62,81,7500000,1
153,36,70,77,63,73,32,63,73,50,43,78,1300000,1
155,33,64,82,80,80,32,62,82,65,76,86,7500000,1
156,36,67,83,75,75,36,78,77,80,66,80,1300000,1
157,33,73,55,71,74,80,75,71,48,75,76,4900000,1
158,31,53,78,81,81,37,63,81,82,81,83,10000000,1
159,30,78,79,71,80,32,70,81,63,51,82,10500000,1
160,29,71,51,72,72,78,82,65,50,82,79,8500000,1
162,31,77,71,76,75,80,86,75,70,83,76,6500000,1
163,29,78,74,80,81,73,76,80,71,82,83,10500000,1
164,30,66,83,71,69,45,80,69,49,59,74,10500000,1
165,27,84,79,79,86,27,64,87,74,75,83,12000000,1
167,29,76,81,68,76,42,75,75,64,59,79,11500000,1
168,33,39,53,59,53,84,75,50,48,60,65,4900000,1
169,29,73,65,66,61,83,77,56,72,72,71,9000000,1
170,31,73,80,75,82,42,75,83,73,67,83,10000000,1
171,29,60,71,83,76,68,73,73,77,88,83,10500000,1
172,29,61,79,57,74,35,85,72,40,46,80,11500000,1
173,29,80,72,82,86,42,55,86,77,80,84,11500000,1
174,28,74,58,52,62,84,76,58,27,61,64,9500000,1
175,25,96,77,75,81,33,64,81,73,65,80,12000000,1
176,28,81,40,62,65,83,75,62,49,67,67,9500000,1
178,29,63,38,48,54,82,82,46,27,62,60,9000000,1
179,28,68,75,82,78,71,73,74,83,82,83,11000000,1
180,25,86,81,69,88,29,55,88,79,71,87,13500000,1
181,27,93,69,72,83,40,64,85,43,67,80,12000000,1
182,25,55,69,84,82,67,59,81,83,85,85,12000000,1
183,27,71,39,50,57,84,81,49,29,64,69,10500000,1
184,29,86,73,80,83,33,50,80,75,75,83,11500000,1
185,25,68,65,75,73,81,81,73,47,80,76,12000000,1
186,25,66,56,68,66,85,82,60,40,76,74,10500000,1
187,26,86,80,64,76,31,63,74,52,55,77,14000000,1
188,30,67,60,63,60,86,83,57,47,55,64,8000000,1
189,24,78,82,78,83,38,70,85,72,73,82,13000000,1
191,24,68,33,60,57,80,83,50,30,64,66,10500000,1
192,24,84,73,75,86,41,63,87,71,71,85,12000000,1
193,27,88,69,77,82,79,73,82,50,76,82,10000000,1
194,22,81,68,81,87,33,50,87,72,74,86,10500000,1
195,25,92,69,75,81,78,76,80,64,71,79,11000000,1
196,22,76,69,81,84,61,77,84,72,83,84,9500000,1
197,23,72,72,79,87,57,65,86,77,83,88,10500000,1
198,25,67,66,77,72,77,80,72,65,75,77,10500000,1
199,24,67,72,79,76,75,83,75,73,83,81,12000000,1
200,25,73,82,59,74,39,85,74,58,45,77,13500000,1
201,25,86,75,77,85,54,71,86,59,79,83,13500000,1
202,23,77,80,80,82,41,69,82,76,81,83,12000000,1
203,23,88,83,75,83,37,67,86,70,67,78,10500000,1
204,21,76,45,60,62,83,76,57,54,74,72,8000000,1
205,22,77,77,77,85,33,67,87,67,72,83,10500000,1
206,27,81,82,63,80,31,69,80,59,52,79,13000000,1
207,20,67,29,56,55,83,80,43,47,78,70,8000000,1
208,37,40,84,87,81,26,68,80,79,87,91,1200000,1
209,33,63,67,78,73,69,77,70,68,83,84,6500000,1
210,33,48,68,81,69,80,78,67,78,81,76,4300000,1
211,31,54,78,87,85,28,60,86,79,84,91,10000000,1
212,33,74,70,81,84,43,67,84,70,80,85,7500000,1
213,30,84,74,77,85,27,64,87,78,71,86,10500000,1
214,34,53,72,85,85,29,61,86,87,84,91,6000000,1
215,32,43,72,83,79,74,66,79,81,85,83,6000000,1
216,31,84,85,61,78,29,66,77,67,42,76,10000000,1
217,33,79,51,71,77,79,78,76,50,70,76,4900000,1
218,30,73,79,67,77,31,77,81,43,54,77,10500000,1
219,32,78,63,75,77,79,79,77,63,80,80,6500000,1
220,33,67,81,64,71,46,78,69,54,46,77,7500000,1
221,30,76,64,66,55,82,81,45,70,76,65,8000000,1
222,32,73,83,72,82,32,64,82,78,61,84,9000000,1
224,32,64,60,60,64,80,84,59,78,64,70,6500000,1
227,29,74,79,78,85,41,68,86,73,76,83,11500000,1
228,30,76,67,75,76,80,75,74,54,75,79,7500000,1
229,30,66,52,75,73,78,77,69,62,79,76,7500000,1
230,28,85,42,70,78,80,68,77,37,68,78,9500000,1
231,28,61,46,60,59,83,76,54,50,65,66,9500000,1
232,26,71,59,70,70,78,83,65,41,74,77,10500000,1
233,28,76,65,73,74,78,78,72,61,73,75,9500000,1
234,28,71,64,69,67,83,76,62,51,77,74,9500000,1
235,26,79,71,75,84,69,83,86,54,78,85,12500000,1
236,31,74,56,71,75,81,78,75,46,68,74,7500000,1
237,27,77,69,79,81,74,68,80,62,79,80,12000000,1
238,28,85,67,77,79,47,75,81,65,72,78,11000000,1
239,31,73,56,61,57,82,74,50,76,61,68,7500000,1
240,26,88,77,77,83,47,63,84,74,77,82,12500000,1
241,27,77,80,78,81,70,84,80,70,75,84,12000000,1
242,29,77,81,67,77,45,79,79,64,55,77,11500000,1
243,24,68,63,71,72,78,81,71,54,81,74,10000000,1
244,25,71,73,77,83,74,80,83,70,78,85,12000000,1
245,27,67,79,83,75,68,74,72,87,86,80,12000000,1
247,26,90,79,74,81,34,63,83,67,65,77,14000000,1
250,26,87,78,81,83,34,74,83,78,79,84,14000000,1
251,26,68,70,83,82,65,70,81,77,82,84,12500000,1
252,27,90,80,68,74,34,71,73,51,60,76,13000000,1
253,25,66,44,62,53,82,78,42,66,70,67,11000000,1
254,27,44,42,60,54,81,82,47,36,70,70,10500000,1
255,29,70,60,65,63,79,81,57,61,72,67,9000000,1
256,23,80,81,64,74,33,85,75,46,48,79,12000000,1
257,27,90,78,72,82,29,62,81,67,54,83,13000000,1
260,25,78,80,71,71,33,84,78,70,63,77,13500000,1
261,25,77,75,73,77,80,78,77,56,76,81,12000000,1
262,29,64,76,83,79,68,75,77,82,87,84,10500000,1
264,24,80,80,56,74,32,80,75,52,40,76,13000000,1
265,26,85,74,79,80,32,68,80,84,79,81,14000000,1
266,25,61,71,86,78,58,68,76,82,84,86,12000000,1
267,21,87,73,71,85,37,63,86,69,65,81,9500000,1
268,23,85,73,78,85,51,62,86,78,74,84,12000000,1
269,23,76,40,59,63,79,85,60,47,63,65,9000000,1
270,21,87,76,72,84,33,60,83,70,55,87,9500000,1
271,26,66,51,55,62,84,76,60,44,59,63,11000000,1
272,24,78,80,60,76,32,78,74,50,48,78,13000000,1
273,21,84,80,65,75,30,81,77,51,58,80,10500000,1
274,31,62,55,59,56,81,78,54,38,75,66,7500000,1
275,25,59,50,71,54,80,74,45,74,77,71,11000000,1
276,25,67,59,72,72,80,83,70,57,76,77,10500000,1
277,22,88,78,76,86,57,74,86,78,68,84,9500000,1
278,21,76,52,76,76,79,76,75,83,75,78,8000000,1
279,24,63,39,59,63,81,82,63,25,67,66,10500000,1
280,28,80,73,78,82,75,80,82,70,74,82,11000000,1
281,23,86,80,69,79,33,71,79,67,60,78,12000000,1
282,25,74,69,80,82,36,67,82,75,75,83,13500000,1
283,21,70,55,80,84,73,67,83,66,85,85,9500000,1
284,27,88,80,56,76,28,83,78,41,48,76,13000000,1
285,20,78,78,78,84,34,61,86,72,74,84,9500000,1
286,19,93,69,70,84,46,62,84,49,66,82,10000000,1
287,23,76,54,54,59,82,80,52,31,74,66,9000000,1
288,21,90,71,76,85,37,39,85,76,67,83,10500000,1
290,33,68,81,73,82,31,68,81,62,58,85,5000000,1
292,36,41,84,82,76,62,71,76,79,84,82,110000,1
293,35,59,42,61,60,81,67,58,27,73,66,1200000,1
294,32,82,73,78,77,43,66,75,70,73,80,5500000,1
295,32,60,69,79,72,75,68,71,75,85,79,5500000,1
296,35,55,79,69,78,32,71,78,73,58,81,3000000,1
297,32,69,52,64,64,79,77,62,55,71,67,4500000,1
298,32,73,72,80,84,52,67,83,76,75,84,5500000,1
299,31,68,46,58,55,81,81,49,31,66,62,5000000,1
300,29,56,74,82,78,65,69,77,75,83,83,7000000,1
301,30,32,31,46,42,81,79,25,25,72,60,5500000,1
302,33,33,41,58,54,80,72,54,30,65,58,3400000,1
303,32,78,71,79,78,76,80,78,71,76,79,4500000,1
305,31,54,50,57,58,81,79,56,51,59,60,5000000,1
309,32,72,72,84,74,76,76,71,82,86,80,4500000,1
310,30,67,50,64,64,81,76,59,53,77,73,5500000,1
312,30,63,75,82,78,35,61,80,72,80,82,7500000,1
313,31,73,60,71,61,79,78,58,48,68,62,5000000,1
314,29,83,59,73,79,76,78,80,59,66,79,6000000,1
315,34,80,79,67,76,36,82,77,63,56,75,4100000,1
316,31,71,76,80,77,68,77,76,75,81,80,6000000,1
317,27,92,63,73,83,27,60,83,54,53,80,8000000,1
318,27,77,73,80,80,55,71,82,72,79,81,9000000,1
319,28,71,63,69,63,80,77,58,65,73,67,6500000,1
320,28,82,74,81,82,70,73,82,69,84,84,7500000,1
321,30,67,72,77,73,75,77,72,67,83,78,5000000,1
322,27,63,66,74,67,81,86,65,62,75,73,7000000,1
323,29,75,65,75,76,78,82,76,68,78,78,6000000,1
324,29,66,80,61,72,31,69,70,55,46,76,8000000,1
325,28,74,43,57,57,79,82,51,32,53,64,6500000,1
326,29,78,53,72,75,80,68,73,41,77,77,6000000,1
327,29,70,42,57,61,79,82,56,22,74,68,6000000,1
328,26,65,71,82,70,72,75,63,88,83,80,7500000,1
329,32,68,78,80,74,70,71,74,69,82,77,5500000,1
330,23,74,38,60,61,81,79,57,20,67,58,6500000,1
331,29,61,59,60,59,81,82,60,69,74,64,6000000,1
332,28,79,78,78,81,68,85,83,81,75,82,7500000,1
333,26,74,31,58,51,81,74,38,24,61,67,8000000,1
335,28,79,76,78,78,51,80,81,69,78,76,7500000,1
336,27,63,68,77,72,78,81,72,71,81,78,8000000,1
337,27,72,74,80,77,65,80,78,67,83,81,8000000,1
338,26,80,65,73,79,75,76,80,59,68,78,8000000,1
339,28,69,44,59,50,80,82,44,49,52,53,6500000,1
340,27,60,40,71,72,79,76,69,47,76,75,7000000,1
341,27,80,79,74,76,34,65,71,68,71,78,9000000,1
342,28,86,76,68,77,37,73,76,47,62,78,8500000,1
343,30,77,80,71,81,32,64,80,76,59,85,7500000,1
344,26,64,71,73,71,75,88,73,45,72,75,7500000,1
346,27,62,78,69,69,38,82,68,65,56,75,9000000,1
347,26,80,71,76,80,76,80,79,68,76,82,9000000,1
349,25,80,73,76,84,31,62,85,72,62,83,9500000,1
350,31,42,85,69,69,30,71,72,80,70,74,7000000,1
351,29,75,80,62,73,37,84,73,72,51,76,8000000,1
352,25,81,67,71,77,79,78,77,36,69,78,7500000,1
353,26,72,71,78,83,49,67,85,66,72,82,9500000,1
354,28,52,46,66,65,81,81,64,59,68,72,6500000,1
355,27,82,52,60,66,82,77,60,46,61,66,7500000,1
356,27,81,79,77,77,26,65,77,85,71,76,8000000,1
357,25,83,76,76,81,62,73,80,74,69,83,8500000,1
358,30,60,65,75,73,75,76,72,61,81,78,6500000,1
359,26,68,60,69,73,83,83,70,52,72,74,7500000,1
360,26,96,66,70,82,36,66,84,55,58,79,9500000,1
361,27,69,46,66,65,78,79,62,46,79,72,7500000,1
362,24,79,56,74,73,80,76,70,58,74,75,7500000,1
363,24,77,38,61,66,81,73,62,32,67,70,7500000,1
365,23,69,51,65,57,81,77,43,45,69,67,6500000,1
367,28,74,73,82,79,62,68,79,83,82,85,8500000,1
368,25,84,74,75,82,69,82,84,62,70,80,8500000,1
369,24,75,74,79,79,39,62,79,80,75,81,9000000,1
370,24,78,73,75,84,70,57,84,49,75,83,9000000,1
371,23,73,67,76,76,78,80,78,64,83,76,6000000,1
372,25,95,79,74,78,38,68,80,75,66,76,8500000,1
373,24,79,43,66,69,80,75,63,27,75,75,7500000,1
374,24,80,75,77,80,60,73,81,66,71,82,8000000,1
375,26,55,67,73,66,78,83,64,74,81,77,7500000,1
377,26,52,29,44,43,81,78,34,31,57,55,8000000,1
378,24,67,61,80,77,72,70,75,71,84,81,8000000,1
379,25,72,68,72,72,80,84,75,53,73,74,7000000,1
380,24,66,51,73,75,74,77,72,54,75,79,7000000,1
381,23,88,74,73,84,43,66,85,64,70,83,7500000,1
382,23,84,64,74,81,77,77,83,59,70,81,6500000,1
383,25,66,77,81,83,46,65,84,69,78,86,8500000,1
384,24,76,63,79,84,54,65,83,70,81,87,8000000,1
386,23,87,77,69,83,39,72,86,57,60,80,8000000,1
387,25,67,41,64,59,80,79,53,45,69,68,7500000,1
388,24,84,76,77,84,65,57,85,80,71,81,9000000,1
389,22,66,55,65,61,80,80,58,34,66,68,5500000,1
390,24,59,57,70,60,80,86,52,62,76,73,7000000,1
391,24,72,57,63,63,79,84,58,38,66,68,7500000,1
392,23,89,70,76,86,27,47,84,74,74,86,8000000,1
393,24,81,81,72,83,49,68,84,82,76,82,8000000,1
395,20,78,79,63,78,29,72,75,56,51,81,7500000,1
396,21,81,80,76,79,42,80,79,73,67,80,6500000,1
397,24,75,59,66,66,79,82,64,56,79,65,7500000,1
398,20,91,68,66,86,26,59,88,74,53,85,7500000,1
399,22,82,40,73,78,76,82,76,47,71,79,5500000,1
400,30,85,58,72,75,75,77,71,59,70,77,5500000,1
401,33,69,75,80,77,65,69,76,75,83,80,4400000,1
402,34,54,44,55,52,81,78,47,48,59,56,2300000,1
403,36,72,75,74,81,28,61,82,72,62,84,925000,1
404,34,49,62,69,66,79,76,61,48,77,74,1900000,1
407,31,56,76,83,73,64,75,70,80,87,82,6000000,1
408,32,75,71,80,80,29,59,81,74,77,83,6500000,1
410,27,89,76,74,84,30,54,86,83,72,84,8000000,1
413,33,83,78,62,80,31,62,81,56,44,76,5000000,2
414,33,74,62,60,53,78,80,52,72,64,61,3400000,1
415,36,78,82,81,82,29,57,79,84,79,89,925000,1
416,32,57,64,76,68,79,75,63,62,77,76,4100000,1
417,28,83,78,66,70,37,80,71,77,64,68,8500000,1
418,28,70,65,69,67,80,81,62,63,72,71,6500000,1
419,31,76,64,74,74,78,82,74,65,75,76,4700000,1
420,35,65,82,72,68,32,68,68,69,64,73,3000000,1
421,30,73,77,76,80,37,68,83,75,64,84,7500000,1
422,33,59,72,75,72,76,75,69,58,76,79,3000000,1
423,28,68,75,81,75,68,74,76,75,81,74,7500000,1
425,33,57,40,60,47,79,74,40,49,65,50,3400000,1
426,35,67,77,64,78,28,63,80,64,42,80,3000000,1
427,28,84,75,77,80,61,70,82,82,74,80,7500000,1
428,31,64,42,44,54,79,83,46,48,32,58,5000000,1
429,30,86,78,58,80,32,74,80,42,50,79,7500000,1
430,29,68,72,73,70,73,81,64,62,78,77,7000000,1
431,30,67,60,73,66,74,81,61,72,74,73,5000000,1
432,29,81,71,79,77,49,71,75,75,71,80,7000000,1
433,32,50,38,58,47,81,81,44,42,60,48,4500000,1
434,28,86,73,75,81,34,53,82,77,69,79,7500000,1
435,28,72,81,72,74,33,73,74,69,64,75,8500000,1
436,30,77,68,78,76,69,73,77,78,71,77,6500000,1
437,28,86,70,71,85,41,65,88,74,70,82,7500000,1
438,26,69,67,75,76,71,82,75,70,77,80,9000000,1
440,27,78,74,78,78,43,67,78,76,70,78,9000000,1
441,28,83,77,71,83,31,66,86,56,62,84,8500000,1
442,28,64,75,75,71,74,80,72,53,78,76,7500000,1
443,28,71,80,63,69,39,72,68,61,45,76,8500000,1
444,29,73,51,66,66,78,84,62,50,65,72,6000000,1
445,27,85,69,70,83,34,60,84,66,60,84,9000000,1
446,27,78,77,76,85,34,69,87,73,72,83,8000000,1
447,28,39,43,56,55,81,73,56,49,64,62,6500000,1
450,27,61,53,69,68,78,88,69,58,71,75,7000000,1
452,28,67,78,68,71,43,76,70,57,66,75,8500000,1
453,30,66,59,65,61,77,77,60,77,77,61,5500000,1
454,28,59,38,50,45,81,82,35,40,61,55,6500000,1
455,26,62,43,51,49,80,84,41,23,68,53,8000000,1
456,22,81,80,77,83,28,60,86,78,70,82,6500000,1
457,28,74,56,66,73,79,88,72,41,66,74,6500000,1
458,28,83,80,69,79,37,75,78,60,62,79,7500000,1
459,27,77,62,68,71,76,74,66,35,65,77,7500000,1
460,29,83,78,71,80,41,66,83,51,69,80,7000000,1
461,27,68,40,47,50,81,79,42,21,62,57,7500000,1
462,27,82,62,72,74,77,77,73,50,76,78,7500000,1
463,26,68,42,60,57,79,79,48,27,67,66,8000000,1
464,26,81,75,65,83,29,70,84,56,55,84,9500000,1
465,29,81,73,71,81,36,58,81,72,64,82,7000000,1
466,28,77,72,79,83,39,60,83,79,77,85,8500000,1
467,26,81,80,45,74,34,72,78,55,21,73,9500000,1
468,24,81,72,74,80,62,78,79,56,70,80,8000000,1
469,27,66,78,72,75,42,74,74,76,68,81,9000000,1
470,30,71,47,74,69,74,74,64,46,76,75,5000000,1
471,28,70,74,76,83,52,56,84,73,67,84,8500000,2
472,27,79,74,78,80,45,61,80,82,80,81,8000000,1
473,27,78,79,77,81,44,64,80,78,76,81,8000000,1
474,28,81,74,73,85,38,66,86,66,64,83,7500000,1
475,25,61,61,72,70,78,81,73,29,77,73,7000000,1
477,30,77,80,72,77,42,72,77,80,67,79,7500000,1
478,23,83,73,70,84,63,72,85,70,59,83,8000000,1
479,25,80,80,76,77,42,74,78,76,74,77,8500000,1
480,28,68,55,51,51,83,81,49,60,64,51,6500000,1
481,26,63,79,62,76,29,77,80,70,58,81,9500000,1
482,26,75,78,76,80,42,74,81,69,69,81,9500000,1
484,24,75,68,76,75,70,76,74,71,80,77,8000000,1
485,25,87,70,73,81,32,53,82,58,53,80,8500000,1
486,25,64,58,64,62,79,79,59,64,77,67,7500000,1
487,22,67,44,53,51,77,84,43,53,51,55,5500000,1
488,25,61,74,80,77,69,70,77,75,80,81,8500000,1
489,29,76,77,77,77,32,63,77,79,75,80,8000000,1
490,28,72,70,78,75,78,78,77,80,76,77,6500000,1
491,25,60,50,63,60,79,75,55,43,78,67,7500000,1
492,24,76,66,78,78,69,75,77,69,76,81,8000000,1
493,24,81,56,72,75,79,71,75,51,64,75,7500000,1
494,23,85,76,71,80,33,75,80,61,63,78,8000000,1
495,24,77,64,70,74,77,77,74,48,76,76,7000000,1
496,25,76,78,77,77,71,76,77,75,77,78,8500000,1
497,26,86,77,55,68,33,75,64,35,30,69,9500000,1
498,24,66,47,69,65,77,81,57,59,71,73,7000000,1
499,28,84,71,75,77,70,81,77,60,75,77,7500000,1
500,26,77,53,69,70,79,78,68,70,68,73,8000000,1
501,26,88,75,72,82,41,61,82,64,70,81,9500000,1
502,25,59,55,67,51,82,85,42,52,72,69,7000000,1
503,25,90,66,75,75,72,82,70,48,66,79,7500000,1
504,22,85,69,75,81,34,78,83,70,72,81,6500000,1
505,23,85,77,72,75,44,64,76,74,69,75,8000000,1
506,27,84,73,75,80,44,64,81,68,74,78,9000000,1
508,24,68,62,71,71,81,77,69,76,73,76,7500000,1
509,25,61,37,55,55,80,78,45,31,57,67,7500000,1
510,22,66,47,62,67,79,75,64,21,73,73,5500000,1
511,22,64,80,54,69,37,83,69,63,32,74,7500000,1
512,20,89,71,71,84,41,72,85,52,69,82,6500000,1
513,24,77,79,51,67,36,77,73,35,33,71,9000000,1
514,20,80,71,74,81,55,74,84,55,76,83,7500000,1
515,22,89,72,70,82,26,60,83,54,67,82,7500000,1
516,23,78,38,53,58,80,81,53,40,56,60,6500000,1
517,21,77,70,75,82,56,67,84,60,70,82,7500000,1
518,20,91,71,72,84,28,75,86,80,68,82,6500000,1
519,25,88,75,78,79,60,52,78,75,76,74,8500000,1
520,23,67,39,54,59,81,74,53,32,69,65,6500000,1
521,21,87,67,70,80,74,71,78,40,64,81,5500000,1
522,22,59,60,70,71,80,84,75,45,75,75,5000000,1
523,20,79,36,57,63,80,74,55,32,70,72,5500000,1
525,21,75,70,75,84,29,44,85,83,76,82,7500000,1
526,20,90,66,72,85,36,52,86,61,60,84,6500000,1
527,23,77,47,56,65,79,78,62,26,66,70,6500000,1
531,34,67,67,70,66,75,76,59,57,69,77,1300000,1
533,32,72,51,58,61,79,80,57,43,69,69,3100000,1
